ticket_id,customer_id,message,category,created_at,escalated
tick-001,cust-001,APIの認証エラーが頻発しています。本番環境で影響が出ています,API,2026-03-18T09:00:00,true
tick-002,cust-002,ダッシュボードの読み込みが遅い,UI,2026-03-18T10:30:00,false
tick-003,cust-003,データエクスポート機能が動作しない,機能障害,2026-03-18T11:00:00,false
tick-004,cust-001,先ほど報告したAPIエラーが継続しています,API,2026-03-18T13:00:00,true
tick-005,cust-004,パスワードリセットのメールが届かない,認証,2026-03-18T14:00:00,false
tick-006,cust-005,SLAレポートの数値が正しくない,レポート,2026-03-18T15:00:00,false
tick-007,cust-001,APIエラーにより売上集計ができない状態が続いています,API,2026-03-18T17:00:00,true
tick-008,cust-006,請求書のPDFが正しく表示されない,請求,2026-03-19T08:00:00,false
tick-009,cust-007,ユーザー権限の設定が保存されない,権限管理,2026-03-19T09:00:00,false
tick-010,cust-003,データエクスポート問題が再発しました,機能障害,2026-03-19T10:00:00,false
tick-011,cust-010,全社員のアカウントが突然ロックされた,認証,2026-03-19T10:30:00,true
tick-012,cust-008,ログイン後に画面が真っ白になる,UI,2026-03-19T11:00:00,false
tick-013,cust-009,検索機能が全く使えない,機能障害,2026-03-19T12:00:00,false
tick-014,cust-005,月次レポートのデータが先月のものになっている,レポート,2026-03-19T13:00:00,false
tick-015,cust-010,アカウントロック問題がまだ解消されていない,認証,2026-03-19T14:00:00,true
